Rank,Vendor,Total_Broad_Spending,Transaction_Count,Pct_of_Total,Cumulative_Pct,Years_Active,Object_Codes,Likely_Role
79,RICOH USA INC,16306.14,28,0.04,99.39,2017-2023,"K06, L46, U07",Scanning/Imaging
80,STERLING CORPORATION,14209.74,2,0.04,99.43,2020-2020,JJ2,Auxiliary Services
81,COMCAST OF MASSACHUSETTS I INC,12583.06,34,0.03,99.47,2017-2021,U01,Telecom
82,WGBH EDUCATIONAL FOUNDATION,11800.00,8,0.03,99.50,2018-2021,"U05, U10",IT Consulting/Staff
83,ACME BOOKBINDING,11789.72,6,0.03,99.53,2015-2019,"E02, J33",Scanning/Imaging
84,"CLEVERBRIDGE, INC.",11554.00,3,0.03,99.56,2018-2023,U03,IT Equipment/Software
85,MOHAWK OFFICE EQUIPMENT CO INC,10235.00,1,0.03,99.59,2013-2013,K06,Scanning/Imaging
86,DIGITAL SCANNING INC,10000.00,2,0.03,99.61,2010-2010,J33,Scanning/Imaging
87,"CAVA AWESOME SOLUTIONS, LLC",10000.00,3,0.03,99.64,2024-2024,U05,IT Consulting/Staff
88,ESCAL INSTITUTE OF ADVANCED TECH INC,8585.00,6,0.02,99.66,2020-2022,U03,IT Equipment/Software
89,APPLE COMPUTER INC,8571.90,2,0.02,99.69,2011-2011,U07,IT Equipment/Software
90,NEOPOST NEW ENGLAND,8411.82,1,0.02,99.71,2013-2013,U07,IT Equipment/Software
91,COVAD COMMUNICATIONS CO.,7602.30,17,0.02,99.73,2017-2018,U01,Telecom
92,DLT SOLUTIONS INC,6791.85,1,0.02,99.75,2019-2019,U10,IT Equipment/Software
93,AVAYA INC,5905.04,4,0.02,99.76,2010-2013,U10,IT Equipment/Software
94,PJ SYSTEMS INC,5737.05,3,0.02,99.78,2010-2012,U07,IT Equipment/Software
95,INCEPTION TECHNOLOGIES INC,5532.00,1,0.01,99.79,2011-2011,L46,Scanning/Imaging
96,SHRED-IT US JV LLC,5054.00,2,0.01,99.80,2019-2020,JJ2,Auxiliary Services
97,PRECISION MICROPRODUCTS OF AMERICA INC,4839.50,2,0.01,99.82,2020-2021,U10,IT Equipment/Software
98,CDW GOVERNMENT INC,4833.03,5,0.01,99.83,2011-2015,U07,IT Equipment/Software
99,ROBERT EDMONDS,4800.00,1,0.01,99.84,2014-2014,U10,IT Equipment/Software
100,CTS SERVICES INC,4430.00,3,0.01,99.85,2017-2020,U07,IT Equipment/Software
101,CLEVERBRIDGE AG,4410.00,1,0.01,99.87,2020-2020,U03,IT Equipment/Software
102,INTERGRATED ELECTRICAL SYSTEMS INC,4357.69,3,0.01,99.88,2011-2017,"U06, U10",IT Equipment/Software
103,CAM OFFICE SERVICES INC,4058.00,2,0.01,99.89,2014-2015,E02,Other
104,BENCHMARK OFFICE SYSTEMS INC,3832.07,25,0.01,99.90,2015-2025,"L46, U07, U10",Scanning/Imaging
105,TECHNICAL DIFFERENCE INC,3642.26,2,0.01,99.91,2011-2011,U10,IT Equipment/Software
106,EASTMAN KODAK CO,3623.00,1,0.01,99.92,2010-2010,U10,IT Equipment/Software
107,VERIZON NEW ENGLAND INC,3147.95,1,0.01,99.93,2021-2021,U01,Telecom
108,SILVIO PETRAGLIA,3115.35,1,0.01,99.93,2023-2023,U05,IT Consulting/Staff
109,"NEW ENGLAND OFFICE SUPPLY, INC.",3099.95,1,0.01,99.94,2015-2015,K06,Scanning/Imaging
110,N E MONEY HANDLING SYS,2800.00,1,0.01,99.95,2014-2014,U10,IT Equipment/Software
111,PITNEY BOWES INC,2439.57,3,0.01,99.96,2017-2019,"E02, K05",Other
112,"GTT COMMUNICATIONS, INC.",2233.64,5,0.01,99.96,2018-2018,U01,Telecom
113,"CROWLEY MICROGRAPHICS, INC",2200.00,1,0.01,99.97,2021-2021,U10,IT Equipment/Software
114,WB HUNT CO INC,2023.53,1,0.01,99.97,2022-2022,U07,IT Equipment/Software
115,PITTSFIELD PIPERS INC,1996.00,2,0.01,99.98,2018-2018,U10,IT Equipment/Software
116,ENVIRONMENTAL INTEGRITY COMPANY LLC,1237.80,2,0.00,99.98,2020-2021,JJ2,Auxiliary Services
117,GENERAL ELECTRIC CAPITAL TECH,1164.96,2,0.00,99.99,2010-2010,L26,Scanning/Imaging
118,ACCESS INFORMATION MANAGEMENT CORP,1054.81,4,0.00,99.99,2026-2026,JJ2,Auxiliary Services
119,"CBE TECHNOLOGIES, LLC",875.00,1,0.00,99.99,2011-2011,L46,Scanning/Imaging
120,PCMG INC,797.18,1,0.00,99.99,2019-2019,U03,IT Equipment/Software
121,ELECTRONIC RECYCLERS INTERNTL-MASS INC,654.09,1,0.00,99.99,2014-2014,JJ2,Auxiliary Services
122,G A BLANCO & SONS INC,589.34,2,0.00,100.00,2014-2020,"K05, U07",IT Equipment/Software
123,CORPORATE TRANSLATION SVCS INC,581.59,1,0.00,100.00,2014-2014,JJ2,Auxiliary Services
124,SHRED IT USA INC,367.54,1,0.00,100.00,2014-2014,JJ2,Auxiliary Services
125,MCI COMMUNICATIONS SERVICE INC,367.38,8,0.00,100.00,2017-2017,U01,Telecom
